sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
in,parole,265,0.0053,50000,1.1598611156707541,0.01621867516327612,1.041535825395065,True,187.0340909090909,189.91577774285187,1.0154072812060857,0.00764474821032973,0.9526359071461471,1.0343322608494174,funzione,Joseph Stalin,wikipedia,Joseph Stalin
and,parole,246,0.00492,50000,1.0565026423906898,0.003684105916035071,1.0410904202358162,True,203.4530612244898,183.5045529229707,0.9019503162967504,-0.05155217928834239,1.000115736454738,0.9729892604963517,funzione,Joseph Stalin,wikipedia,Joseph Stalin
of,parole,232,0.00464,50000,1.001370602006413,0.009715153404820981,1.05126134058745,True,214.87012987012986,207.0144723348346,0.9634399739971149,-0.01862039404670837,1.0256069701435238,0.9612054948903287,funzione,Joseph Stalin,wikipedia,Joseph Stalin
to,parole,187,0.00374,50000,1.1513161859915608,0.010583596825501525,1.0910168658678248,True,267.13978494623655,291.1605887867659,1.0899184816120282,0.043024875086357904,0.9905059580228456,1.0766380861968032,funzione,Joseph Stalin,wikipedia,Joseph Stalin
was,parole,116,0.00232,50000,1.0455639778052666,0.0076852372446706745,1.0704712095082105,True,431.62608695652176,414.51723052391975,0.9603618572889331,-0.020219809196800137,1.0173025942718847,0.9735670902494021,funzione,Joseph Stalin,wikipedia,Joseph Stalin
stalin,parole,197,0.00394,50000,1.0136073141161193,0.02337946575180925,0.8404294529081535,True,253.62244897959184,187.12373612576266,0.7378043106145541,-0.15087756877109113,0.9863044586628907,0.9940387919894299,keyword,Joseph Stalin,wikipedia,Joseph Stalin
soviet,parole,58,0.00116,50000,1.2673651675146755,0.008783886221687813,1.2001011174913419,True,858.859649122807,1431.7449074293488,1.667030124062361,0.250102208461881,0.9724253787872407,1.2800497745506858,keyword,Joseph Stalin,wikipedia,Joseph Stalin
party,parole,37,0.00074,50000,1.1399525499085297,0.012273894778822396,1.1217567619796054,True,1159.5277777777778,1417.3282810800067,1.22233232203915,0.10004458821673623,0.99108795076754,1.176926655292625,keyword,Joseph Stalin,wikipedia,Joseph Stalin
lenin,parole,47,0.00094,50000,1.4622691110410846,0.008667821592048881,1.4066825920395993,True,646.2173913043479,1087.365806035515,1.6826625539135334,0.2544720180768351,0.9552943766585141,1.4308525338844411,keyword,Joseph Stalin,wikipedia,Joseph Stalin
union,parole,26,0.00052,50000,1.151686862199297,0.017877340233242507,1.0690037492106617,True,1878.16,3950.864269161032,2.1035823727270477,0.3555834001458627,0.8971411553598564,1.1917358332784884,keyword,Joseph Stalin,wikipedia,Joseph Stalin
bolshevik,parole,22,0.00044,50000,1.434267312207722,0.021354449259909935,1.267911956369889,True,1274.7142857142858,2524.741474742654,1.9806332313345936,0.32900164335063464,0.9027736347717158,1.3556092863170728,keyword,Joseph Stalin,wikipedia,Joseph Stalin
stalin's,parole,21,0.00042,50000,0.9877102854458515,0.005904971585834488,0.9492852024788894,True,2373.25,1885.717980672502,0.7945719922774684,-0.11447186772475226,1.0316783493466606,0.9955970171819911,keyword,Joseph Stalin,wikipedia,Joseph Stalin
he,parole,106,0.00212,50000,1.3123750518617558,0.0220144538785646,1.1568597776690626,True,470.4095238095238,572.228465926082,1.2164474504937666,0.09765512394419622,0.9752962246577587,1.138209315110253,appaiata,Joseph Stalin,wikipedia,Joseph Stalin
that,parole,52,0.00104,50000,1.1547824457605191,0.005443831385719021,1.1722347576399752,True,951.5098039215686,1087.881526133228,1.1433214052546958,0.06686883493223202,0.9947701474399558,1.0672310399340832,appaiata,Joseph Stalin,wikipedia,Joseph Stalin
had,parole,30,0.0006,50000,1.1512474195233888,0.005785452041783534,1.117452659890073,True,1384.655172413793,1997.701702240103,1.442743104593774,0.18124832847185612,0.9787871504584954,1.1828372249699155,appaiata,Joseph Stalin,wikipedia,Joseph Stalin
war,parole,31,0.00062,50000,1.20743014631671,0.013194255802824769,1.1487944245992472,True,1586.5,2312.408786644724,1.457553600154254,0.18618255167477712,0.9117392473976089,1.210536131549155,appaiata,Joseph Stalin,wikipedia,Joseph Stalin
