corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
letterario,wrnpc_5,n,lettera,3394,17.673150604185086,0.858876097570103,-0.3522644355612015
letterario,wrnpc_5,h,lettera,3284,18.274748705452332,0.8361820925317935,-0.41247226135479287
letterario,wrnpc_5,s,lettera,3168,18.929586359330596,0.9636618545173873,-0.11358029447504392
letterario,wrnpc_5,i,lettera,3081,19.45487012987013,0.8645711876494652,-0.3556167543863
letterario,wrnpc_5,r,lettera,2370,25.280287040945545,0.9597763555980486,-0.19598461022708316
letterario,wrnpc_5,d,lettera,2327,25.78030954428203,0.9516699124043831,-0.18658271294334663
letterario,wrnpc_5,l,lettera,1910,31.414876898899948,1.0255433916606953,0.05149749113138779
letterario,wrnpc_5,u,lettera,1190,50.39108494533221,1.0014486670756564,-0.1987864910346745
letterario,wrnpc_5,w,lettera,1159,51.78411053540587,1.0214762535852713,-0.20142548270358848
letterario,wrnpc_5,m,lettera,1121,53.23303571428571,1.0260563905540472,-0.05756676561997632
letterario,wrnpc_5,c,lettera,1049,57.097328244274806,0.9970795581838556,-0.10052853329229335
letterario,wrnpc_5,g,lettera,948,63.23970432946146,0.9754161641699423,-0.13690660694566364
letterario,wrnpc_5,f,lettera,920,65.16322089227421,1.0902539745330844,0.04684452697449161
letterario,wrnpc_5,y,lettera,881,68.12045454545455,1.013644034330841,-0.1855717015200929
letterario,wrnpc_5,p,lettera,717,83.58240223463687,1.1856506211838835,0.30452376437782264
letterario,wrnpc_5,the,funzione,529,113.45265151515152,1.1859368863847704,-0.3146739232208857
letterario,wrnpc_5,and,funzione,428,140.37002341920376,0.8296856200217676,-0.4459429334835753
letterario,wrnpc_5,to,funzione,286,208.49122807017545,0.9092444061707827,-0.19899367491365905
letterario,wrnpc_5,he,funzione,243,241.68595041322314,1.2733831276704772,-0.12251681900564632
letterario,wrnpc_5,of,funzione,203,291.5792079207921,1.1011177087882262,-0.08702633767742582
letterario,wrnpc_5,in,funzione,154,388.5686274509804,1.0853303829408998,-0.1176442321909579
letterario,wrnpc_5,nicholas,keyword,54,865.622641509434,1.2400473819485611,-0.1314758145573344
letterario,wrnpc_5,dólokhov,keyword,63,773.7258064516129,1.7183488598411103,0.07283831166143048
letterario,wrnpc_5,natásha,keyword,52,805.1176470588235,1.6154723864983764,-0.1671267138236837
letterario,wrnpc_5,rostóv,keyword,51,896.88,1.725883548173149,-0.039987477678916174
letterario,wrnpc_5,denísov,keyword,47,906.6739130434783,1.8569861533537444,0.22374867516303884
letterario,wrnpc_5,room,keyword,32,1899.225806451613,1.79775500345111,0.1359147622389202
letterario,wrnpc_5,sónya,keyword,35,1224.3529411764705,1.6166506502205025,0.4064323973794526
letterario,wrnpc_5,all,appaiata,50,1214.591836734694,1.1871124501626866,0.308266153498161
letterario,wrnpc_5,so,appaiata,49,1150.7708333333333,1.1366091804667064,0.2129739494836969
letterario,wrnpc_5,this,appaiata,48,1186.212765957447,1.2065524595540529,0.2957893946122587
