modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen3.5-4B-Base,0.9,3,0.6835431189118731,0.6065219949683834,0.4924961745857813,0.33006678630987013
Qwen3.5-4B-Base,0.9,4,0.8087838136464185,0.6591055248408306,0.505131175014751,0.18386322576518438
Qwen3.5-4B-Base,0.9,5,0.757684568266972,0.6312354106138511,0.5117411565060339,0.21051553441448712
Qwen3.5-4B-Base,1.0,1,0.570731385349903,0.5733842650529942,0.48577186290848273,0.40880458013818566
Qwen3.5-4B-Base,1.0,2,0.8133233606623305,0.7812969913653479,0.4975720214100735,1.1077667155949533
Qwen3.5-4B-Base,1.0,3,0.7525789951025635,0.6278226385414386,0.4817988588544535,0.9681333230732239
Qwen3.5-4B-Base,1.0,4,0.7705071330180128,0.7769541541778704,0.48705278260652096,1.3675763937148353
Qwen3.5-4B-Base,1.0,5,0.6549483854907502,0.6794213225092522,0.5088999508193236,0.9056639485770577
Qwen3.5-4B-Base,1.1,1,0.5050074242344051,0.49745294425390085,0.4926458078207213,0.17450187116481844
Qwen3.5-4B-Base,1.1,2,0.540989813916805,0.5174798217658023,0.5239036876778513,0.20973833489727378
Qwen3.5-4B-Base,1.1,3,0.5617700671640082,0.5635922926969095,0.5080824632613591,0.21694725209462523
Qwen3.5-4B-Base,1.1,4,0.546941054284099,0.5398113865522978,0.5077513606670794,0.23287115429061261
Qwen3.5-4B-Base,1.1,5,0.5915739645587945,0.5524931448647623,0.5158498824476418,0.2377452183263614
Qwen3.5-4B-Base,1.2,1,0.5288105797864194,0.5320691747925326,0.486464569043628,0.1660291237840681
Qwen3.5-4B-Base,1.2,2,0.5192126991219322,0.5056782636030075,0.5037101062547991,0.15531975807857257
Qwen3.5-4B-Base,1.2,3,0.5627114217142699,0.5423100394216117,0.4933613155790557,0.16231599409055109
Qwen3.5-4B-Base,1.2,4,0.5431075733054321,0.5449346030367207,0.48042359494507275,0.16459969771343907
Qwen3.5-4B-Base,1.2,5,0.5543311175938738,0.530030695987171,0.4945069992303224,0.15619650946488692
Qwen3.5-4B-Base,1.3,1,0.5241591172819327,0.5183173770199377,0.49534238736191416,0.17546993420735413
Qwen3.5-4B-Base,1.3,2,0.563053546995304,0.5325118874945576,0.5024665023422372,0.15247101846215638
Qwen3.5-4B-Base,1.3,3,0.5708010420038736,0.535108898855257,0.5046492750247193,0.19147969502400933
Qwen3.5-4B-Base,1.3,4,0.5530116224222261,0.528021113791942,0.5048553023242898,0.16223109403347236
Qwen3.5-4B-Base,1.3,5,0.5007480550259623,0.5161722103839868,0.5178728749513883,0.13842524326391287
Qwen3.5-4B-Base,1.4,1,0.5194676057520834,0.506884161207068,0.5013245082317024,0.12602806365078384
Qwen3.5-4B-Base,1.4,2,0.5425904336536176,0.532727222990078,0.472685217959329,0.10525388976088741
Qwen3.5-4B-Base,1.4,3,0.5345949031347424,0.5255107906678541,0.5021084714005455,0.18306810773516144
Qwen3.5-4B-Base,1.4,4,0.544416899340019,0.5628347033083869,0.5061558417253497,0.13837332565214902
Qwen3.5-4B-Base,1.4,5,0.5361916810073348,0.5329809562061955,0.49798883944192995,0.16219195036380749
Qwen3.5-4B-Base,1.5,1,0.5204284709304104,0.5375542643106315,0.4995943495820281,0.1530105790046156
Qwen3.5-4B-Base,1.5,2,0.5215854477597552,0.5291865838257681,0.4917098833857349,0.13780039028845953
Qwen3.5-4B-Base,1.5,3,0.5360128541193777,0.5273695754900463,0.46649858494563834,0.1200035333033558
Qwen3.5-4B-Base,1.5,4,0.5131440551256194,0.5220333826236638,0.5114108969361163,0.12261824061958514
Qwen3.5-4B-Base,1.5,5,0.5293717583285801,0.5270807895547556,0.5029659728508573,0.14549289827154024
